instruction_text;thisN;thisTrialN;thisRepN;prac_attention_resp.keys;prac_attention_resp.rt;prac_attention_resp.duration;exp_atttention_resp.keys;exp_pause_resp.keys;exp_atttention_resp.rt;exp_atttention_resp.duration;exp_pause_resp.rt;exp_pause_resp.duration;instruction_trial.thisRepN;instruction_trial.thisTrialN;instruction_trial.thisN;instruction_trial.thisIndex;practice_trials.thisRepN;practice_trials.thisTrialN;practice_trials.thisN;practice_trials.thisIndex;experiment_trials.thisRepN;experiment_trials.thisTrialN;experiment_trials.thisN;experiment_trials.thisIndex;thisRow.t;notes;piloting;assigned_ls_group;slider_informed_consent.response;Practice_clip_name;Practice_video_used;Practice_audio_used;Practice_modality;Practice_subtitles;Practice_attention_check;Practice_all_cut_rts;practice_trials.prac_attention_resp.keys;Practice_correct_key_required;practice_trials.prac_attention_resp.rt;practice_trials.prac_attention_resp.duration;video_used;audio_used;condition_modality;all_cut_rts;experiment_trials.exp_atttention_resp.keys;experiment_trials.exp_pause_resp.keys;correct_key_required;experiment_trials.exp_atttention_resp.rt;experiment_trials.exp_atttention_resp.duration;experiment_trials.exp_pause_resp.rt;experiment_trials.exp_pause_resp.duration;participant;session;date;expName;expVersion;psychopyVersion;frameRate;expStart
Einverständniserklärung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;27;0;27;;;;None;None;;;;;;;;;;;;;27;0;27;0;6.527.227.318.999.350;;;;;;;;;;;;;;;;clips/clip_weißt_20_sub_1.mp4;audios/clip_weißt_20_sub_1.mp3;audiovisual;[8.177734999917448];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;28;0;28;;;;4;None;4.779.878.200.031.810;None;;;;;;;;;;;28;0;28;0;6.633.369.392.999.440;;;;;;;;;;;;;;;;clips/clip_wurst_30_sub_1.mp4;audios/clip_wurst_30_sub_1.mp3;audiovisual;[];4;None;4;4.779.878.200.031.810;None;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;29;0;29;;;;None;None;;;;;;;;;;;;;29;0;29;0;6.789.922.064.999.110;;;;;;;;;;;;;;;;clips/clip_claude_18_nosub_0.mp4;audios/clip_claude_18_nosub_0.mp3;audiovisual;[];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;30;0;30;;;;None;None;;;;;;;;;;;;;30;0;30;0;6.888.455.876.996.740;;;;;;;;;;;;;;;;clips/clip_lied_06_nosub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;31;0;31;;;;1;None;7.298.587.199.766.180;None;;;;;;;;;;;31;0;31;0;7.023.991.723.996.580;;;;;;;;;;;;;;;;clips/clip_wurst_26_sub_1.mp4;audios/clip_wurst_26_sub_1.mp3;audiovisual;[10.194323599804193];1;None;1;7.298.587.199.766.180;None;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;32;0;32;;;;None;None;;;;;;;;;;;;;32;0;32;0;7.226.324.609.997.680;;;;;;;;;;;;;;;;clips/clip_hund_23_sub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;33;0;33;;;;None;None;;;;;;;;;;;;;33;0;33;0;7.343.598.344.996.570;;;;;;;;;;;;;;;;clips/clip_lied_12_sub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;34;0;34;;;;4;None;4.612.083.800.137.040;None;;;;;;;;;;;34;0;34;0;7.443.042.707.997.370;;;;;;;;;;;;;;;;clips/clip_weißt_30_sub_2.mp4;audios/clip_weißt_30_sub_2.mp3;audiovisual;[3.177176999859512, 12.139600099995732];4;None;4;4.612.083.800.137.040;None;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;35;0;35;;;;None;None;;;;;;;;;;;;;35;0;35;0;7.617.831.305;;;;;;;;;;;;;;;;clips/clip_wurst_24_nosub_1.mp4;audios/clip_wurst_24_nosub_1.mp3;audiovisual;[];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
;36;0;36;;;;None;None;;;;;;;;;;;;;36;0;36;0;7.738.861.465.998.920;;;;;;;;;;;;;;;;clips/clip_wurst_11_nosub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;118;A;2026-04-02_16h30.55.660;exp_sofc_final;;02.01.2026;60.258.496.918.229.300;2026-04-02 16h30.58.072685 +0200
