instruction_text;thisN;thisTrialN;thisRepN;prac_attention_resp.keys;prac_attention_resp.rt;prac_attention_resp.duration;exp_atttention_resp.keys;exp_pause_resp.keys;exp_atttention_resp.rt;exp_atttention_resp.duration;exp_pause_resp.rt;exp_pause_resp.duration;instruction_trial.thisRepN;instruction_trial.thisTrialN;instruction_trial.thisN;instruction_trial.thisIndex;practice_trials.thisRepN;practice_trials.thisTrialN;practice_trials.thisN;practice_trials.thisIndex;experiment_trials.thisRepN;experiment_trials.thisTrialN;experiment_trials.thisN;experiment_trials.thisIndex;thisRow.t;notes;piloting;assigned_ls_group;slider_informed_consent.response;Practice_clip_name;Practice_video_used;Practice_audio_used;Practice_modality;Practice_subtitles;Practice_attention_check;Practice_all_cut_rts;Practice_correct_key_required;practice_trials.prac_attention_resp.keys;practice_trials.prac_attention_resp.rt;practice_trials.prac_attention_resp.duration;video_used;audio_used;condition_modality;all_cut_rts;experiment_trials.exp_atttention_resp.keys;experiment_trials.exp_pause_resp.keys;correct_key_required;experiment_trials.exp_atttention_resp.rt;experiment_trials.exp_atttention_resp.duration;experiment_trials.exp_pause_resp.rt;experiment_trials.exp_pause_resp.duration;participant;session;date;expName;expVersion;psychopyVersion;frameRate;expStart
Einverständniserklärung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;24;0;24;;;;None;None;;;;;;;;;;;;;24;0;24;0;5.683.600.142.998.620;;;;;;;;;;;;;;;;clips/clip_claude_07_sub_0.mp4;audios/clip_claude_07_sub_0.mp3;audiovisual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;25;0;25;;;;None;None;;;;;;;;;;;;;25;0;25;0;5.791.386.378.998.860;;;;;;;;;;;;;;;;clips/clip_wurst_03_sub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;26;0;26;;;;None;None;;;;;;;;;;;;;26;0;26;0;591.870.352.299.884;;;;;;;;;;;;;;;;clips/clip_herz_02_nosub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;27;0;27;;;;None;None;;;;;;;;;;;;;27;0;27;0;6.051.537.278.997.710;;;;;;;;;;;;;;;;clips/clip_weißt_14_sub_2.mp4;audios/clip_weißt_14_sub_2.mp3;audiovisual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;28;0;28;;;;None;None;;;;;;;;;;;;;28;0;28;0;6.148.790.930.998.510;;;;;;;;;;;;;;;;clips/clip_hund_10_sub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;29;0;29;;;;None;None;;;;;;;;;;;;;29;0;29;0;6.252.174.407.001.580;;;;;;;;;;;;;;;;clips/clip_holo_03_sub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;30;0;30;;;;None;None;;;;;;;;;;;;;30;0;30;0;6.355.874.172.002.070;;;;;;;;;;;;;;;;clips/clip_hund_11_sub_1.mp4;audios/clip_hund_11_sub_1.mp3;audiovisual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;31;0;31;;;;None;None;;;;;;;;;;;;;31;0;31;0;6.461.690.444.997.510;;;;;;;;;;;;;;;;clips/clip_lied_06_nosub_1.mp4;audios/clip_lied_06_nosub_1.mp3;audiovisual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;32;0;32;;;;None;None;;;;;;;;;;;;;32;0;32;0;6.596.298.571.000.800;;;;;;;;;;;;;;;;clips/clip_hund_07_sub_1.mp4;audios/clip_hund_07_sub_1.mp3;audiovisual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;33;0;33;;;;None;None;;;;;;;;;;;;;33;0;33;0;6.720.419.998.997.820;;;;;;;;;;;;;;;;clips/clip_claude_18_sub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
