instruction_text;thisN;thisTrialN;thisRepN;prac_attention_resp.keys;prac_attention_resp.rt;prac_attention_resp.duration;exp_atttention_resp.keys;exp_pause_resp.keys;exp_atttention_resp.rt;exp_atttention_resp.duration;exp_pause_resp.rt;exp_pause_resp.duration;instruction_trial.thisRepN;instruction_trial.thisTrialN;instruction_trial.thisN;instruction_trial.thisIndex;practice_trials.thisRepN;practice_trials.thisTrialN;practice_trials.thisN;practice_trials.thisIndex;experiment_trials.thisRepN;experiment_trials.thisTrialN;experiment_trials.thisN;experiment_trials.thisIndex;thisRow.t;notes;piloting;assigned_ls_group;slider_informed_consent.response;Practice_clip_name;Practice_video_used;Practice_audio_used;Practice_modality;Practice_subtitles;Practice_attention_check;Practice_all_cut_rts;practice_trials.prac_attention_resp.keys;Practice_correct_key_required;practice_trials.prac_attention_resp.rt;practice_trials.prac_attention_resp.duration;video_used;audio_used;condition_modality;all_cut_rts;experiment_trials.exp_atttention_resp.keys;experiment_trials.exp_pause_resp.keys;correct_key_required;experiment_trials.exp_atttention_resp.rt;experiment_trials.exp_atttention_resp.duration;experiment_trials.exp_pause_resp.rt;experiment_trials.exp_pause_resp.duration;participant;session;date;expName;expVersion;psychopyVersion;frameRate;expStart
Einverständniserklärung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;24;0;24;;;;None;None;;;;;;;;;;;;;24;0;24;0;5.603.598.789.996.460;;;;;;;;;;;;;;;;clips/clip_wurst_11_nosub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;25;0;25;;;;None;None;;;;;;;;;;;;;25;0;25;0;5.729.905.454.996.040;;;;;;;;;;;;;;;;clips/clip_herz_13_sub_0.mp4;audios/silence.mp3;visual;[7.845094399992377];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;26;0;26;;;;4;None;5.916.144.900.023.930;None;;;;;;;;;;;26;0;26;0;585.036.396.399.606;;;;;;;;;;;;;;;;clips/clip_wurst_32_nosub_1.mp4;audios/clip_wurst_32_nosub_1.mp3;audiovisual;[7.371518999803811];4;None;4;5.916.144.900.023.930;None;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;27;0;27;;;;None;None;;;;;;;;;;;;;27;0;27;0;602.457.697.799.895;;;;;;;;;;;;;;;;clips/clip_claude_11_sub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;28;0;28;;;;None;None;;;;;;;;;;;;;28;0;28;0;6.134.029.171.997.680;;;;;;;;;;;;;;;;clips/clip_hund_24_sub_1.mp4;audios/clip_hund_24_sub_1.mp3;audiovisual;[8.171011799946427];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;29;0;29;;;;None;None;;;;;;;;;;;;;29;0;29;0;6.261.802.902.999.330;;;;;;;;;;;;;;;;clips/clip_hund_14_nosub_2.mp4;audios/clip_hund_14_nosub_2.mp3;audiovisual;[5.80924340011552];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;30;0;30;;;;None;None;;;;;;;;;;;;;30;0;30;0;6.368.956.849.998.790;;;;;;;;;;;;;;;;clips/clip_dampf_04_sub_1.mp4;audios/clip_dampf_04_sub_1.mp3;audiovisual;[5.1280276998877525];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;31;0;31;;;;None;None;;;;;;;;;;;;;31;0;31;0;6.473.186.971.000.390;;;;;;;;;;;;;;;;clips/clip_claude_21_nosub_1.mp4;audios/silence.mp3;visual;[9.867129299789667];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;32;0;32;;;;2;None;3.807.358.100.079;None;;;;;;;;;;;32;0;32;0;6.603.948.780.996.720;;;;;;;;;;;;;;;;clips/clip_herz_15_nosub_0.mp4;audios/silence.mp3;visual;[3.5354981999844313, 7.7935649999417365];2;None;3;3.807.358.100.079;None;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;33;0;33;;;;None;None;;;;;;;;;;;;;33;0;33;0;6.771.082.414.998.670;;;;;;;;;;;;;;;;clips/clip_lied_10_nosub_1.mp4;audios/silence.mp3;visual;[4.483197800349444];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
