instruction_text;thisN;thisTrialN;thisRepN;prac_attention_resp.keys;prac_attention_resp.rt;prac_attention_resp.duration;exp_atttention_resp.keys;exp_pause_resp.keys;exp_atttention_resp.rt;exp_atttention_resp.duration;exp_pause_resp.rt;exp_pause_resp.duration;instruction_trial.thisRepN;instruction_trial.thisTrialN;instruction_trial.thisN;instruction_trial.thisIndex;practice_trials.thisRepN;practice_trials.thisTrialN;practice_trials.thisN;practice_trials.thisIndex;experiment_trials.thisRepN;experiment_trials.thisTrialN;experiment_trials.thisN;experiment_trials.thisIndex;thisRow.t;notes;piloting;assigned_ls_group;slider_informed_consent.response;Practice_clip_name;Practice_video_used;Practice_audio_used;Practice_modality;Practice_subtitles;Practice_attention_check;Practice_all_cut_rts;practice_trials.prac_attention_resp.keys;Practice_correct_key_required;practice_trials.prac_attention_resp.rt;practice_trials.prac_attention_resp.duration;video_used;audio_used;condition_modality;all_cut_rts;experiment_trials.exp_atttention_resp.keys;experiment_trials.exp_pause_resp.keys;correct_key_required;experiment_trials.exp_atttention_resp.rt;experiment_trials.exp_atttention_resp.duration;experiment_trials.exp_pause_resp.rt;experiment_trials.exp_pause_resp.duration;participant;session;date;expName;expVersion;psychopyVersion;frameRate;expStart
Einverständniserklärung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;25;0;25;;;;4;None;19.454.643.600.154.600;None;;;;;;;;;;;25;0;25;0;5.057.341.482.001.350;;;;;;;;;;;;;;;;clips/clip_wurst_12_sub_0.mp4;audios/silence.mp3;visual;[];4;None;4;19.454.643.600.154.600;None;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;26;0;26;;;;None;None;;;;;;;;;;;;;26;0;26;0;5.347.740.176.999.940;;;;;;;;;;;;;;;;clips/clip_weißt_20_nosub_1.mp4;audios/silence.mp3;visual;[7.876840199809521];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;27;0;27;;;;None;None;;;;;;;;;;;;;27;0;27;0;5.453.910.052.003.330;;;;;;;;;;;;;;;;clips/clip_weißt_29_sub_1.mp4;audios/clip_weißt_29_sub_1.mp3;audiovisual;[6.7427250999026];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;28;0;28;;;;None;None;;;;;;;;;;;;;28;0;28;0;5.578.316.301.000.300;;;;;;;;;;;;;;;;clips/clip_claude_20_nosub_1.mp4;audios/silence.mp3;visual;[6.561294199898839];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;29;0;29;;;;None;None;;;;;;;;;;;;;29;0;29;0;5.707.781.031.001.350;;;;;;;;;;;;;;;;clips/clip_claude_04_nosub_2.mp4;audios/silence.mp3;visual;[8.609077800065279];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;30;0;30;;;;1;None;5.450.579.099.822.780;None;;;;;;;;;;;30;0;30;0;5.807.060.100.003.140;;;;;;;;;;;;;;;;clips/clip_weißt_30_nosub_2.mp4;audios/silence.mp3;visual;[3.358305400237441, 11.973560400307178];1;None;1;5.450.579.099.822.780;None;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;31;0;31;;;;None;None;;;;;;;;;;;;;31;0;31;0;5.991.137.118.004.260;;;;;;;;;;;;;;;;clips/clip_lied_09_nosub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;32;0;32;;;;2;None;4.640.394.499.991.080;None;;;;;;;;;;;32;0;32;0;6.104.339.326.000.770;;;;;;;;;;;;;;;;clips/clip_herz_13_sub_0.mp4;audios/clip_herz_13_sub_0.mp3;audiovisual;[8.167558399960399];2;None;2;4.640.394.499.991.080;None;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;33;0;33;;;;None;None;;;;;;;;;;;;;33;0;33;0;6.273.125.560.004.260;;;;;;;;;;;;;;;;clips/clip_weißt_08_sub_0.mp4;audios/clip_weißt_08_sub_0.mp3;audiovisual;[8.114057600032538];None;None;;;;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
;34;0;34;;;;4;None;3.002.952.799.666.670;None;;;;;;;;;;;34;0;34;0;6.383.625.682.001.000;;;;;;;;;;;;;;;;clips/clip_lied_19_nosub_1.mp4;audios/clip_lied_19_nosub_1.mp3;audiovisual;[5.252119199838489];4;None;4;3.002.952.799.666.670;None;;;201;B;2026-03-28_21h19.11.611;exp_sofc_final;;02.01.2026;6.004.412.044.809.740;2026-03-28 21h19.13.703813 +0100
